Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Inaugurazione @Aurum / Alviani ArtSpace"	"20.08.2016 22:00 CEST"	"20.08.2016 23:30 CEST"	""	""	""
"Hacking the British Way: the British Hacking Scene of the 80s and the early 90s"	"19.08.2016 16:00 CEST"	"19.08.2016 17:00 CEST"	"Stephen Firth Lingua: english Livello: Padawan"	""	"Gandalf Arena"
"Saluti & Baci"	"21.08.2016 16:15 CEST"	"21.08.2016 16:45 CEST"	""	""	"Ex Caserma di Cocco, 65127 Pescara PE, Italia"
"Modsecurity and FLEX sanitize"	"20.08.2016 17:00 CEST"	"20.08.2016 18:00 CEST"	"Andrea Cavallini Lingua: italiano Livello: Jedi"	""	"Gandalf Arena"
"BLIH (Bigdata Localized Info Harvester)"	"21.08.2016 15:00 CEST"	"21.08.2016 15:30 CEST"	"Giovambattista Vieri Lingua: italiano Livello:  Padawan"	""	"Gandalf Arena"
"Abuse IoT device on a budget."	"21.08.2016 11:00 CEST"	"21.08.2016 11:30 CEST"	"Mirko Maischberger, Edoardo Odorico Lingua: Italiano/Inglese Livello: Padawan"	""	"Elf Arena"
"Keynote Metro Olografix"	"19.08.2016 10:00 CEST"	"19.08.2016 10:30 CEST"	""	""	"Gandalf Arena"
"Linux device driver fundamentals"	"19.08.2016 21:30 CEST"	"19.08.2016 23:30 CEST"	"Angelo Compagnucci Lingua: Italiano/Inglese Livello: Jedi"	""	"Gandalf Arena"
"Devuan GNU+Linux - where we are, how we got here, where we are going"	"20.08.2016 10:00 CEST"	"20.08.2016 11:00 CEST"	"Jaromil Lingua: italian and english Livello: Padawan"	""	"Gandalf Arena"
"Node.js... let's talk about the security"	"20.08.2016 11:00 CEST"	"20.08.2016 12:00 CEST"	"Umberto "UmbRos" Rosini Lingua: English / Italian Livello: Jedi"	""	"Gandalf Arena"
"Sharepoint REST API Abuse"	"21.08.2016 10:00 CEST"	"21.08.2016 10:40 CEST"	"Massimo Bozza  Andrea De Dominicis Lingua: italiano livello:padawan"	""	"Gandalf Arena"
"Documentazione video, streaming e nuove frontiere dei social media contents"	"19.08.2016 17:00 CEST"	"19.08.2016 18:00 CEST"	"Guido Morelli Lingua: italian or english if needed Livello: Padawan"	""	"Gandalf Arena"
"ARM Disassembling with a twist"	"19.08.2016 10:30 CEST"	"19.08.2016 11:30 CEST"	"Agustin Gianni Lingua: english or italian broken :) Livello: Jedi"	""	"Gandalf Arena"
"La resistenza digitale nel 2016 non è più cifrare tutto, ma reversare algoritmi"	"19.08.2016 20:00 CEST"	"19.08.2016 21:00 CEST"	"Claudio Agosti Lingua: italiano Livello: Jedi"	""	"Gandalf Arena"
"MIPS, IoT, virtualizzazione e sicurezza"	"21.08.2016 12:00 CEST"	"21.08.2016 12:30 CEST"	"Alexjan Carraturo Lingua: italiano, english if needed Livello: Jedi"	""	"Gandalf Arena"
"Windows malware development"	"20.08.2016 12:00 CEST"	"20.08.2016 13:00 CEST"	"Samuel Finocchio Lingua: italian or english Livello: Jedi"	""	"Gandalf Arena"
"connected security"	"19.08.2016 18:00 CEST"	"19.08.2016 19:00 CEST"	"Cristiano Cafferata Lingua: italiano/inglese if needed Livello: Jedi"	""	"Gandalf Arena"
"Little Pin, little Pin, let me in!"	"20.08.2016 10:00 CEST"	"20.08.2016 11:00 CEST"	"Davide Gabrini Lingua: Italiano Livello: Jedi"	""	"Elf Arena"
"Reti comunitarie, noi siamo Internet."	"20.08.2016 20:00 CEST"	"20.08.2016 21:00 CEST"	"Ninux Lingua: Italiano Livello: Jedi"	""	"Elf Arena"
